id,category,docName,docLink,notes,clientDealId
b41a02c7-5217-4c33-a1d8-45b29dbbf475,b07002d6-d08d-4695-8762-588923bf89b8,SPK,-,https://drive.google.com/drive/folders/1TZWHwXFJ7E1atAJbR7d-ViKb4GR03m_s,Sudah di tanda tangani pak aqil dan client
298f81e7-282f-475a-b5f0-b88f4017e14f,418e1b18-9354-4047-a5e3-bd9020a20fe0,Invoice,  775/INV/HAN/IV/2026,https://drive.google.com/drive/folders/1kzdZHfS3aSdXKDsvGhkLkKiHNgvqNrZW,Invoive Pelunasan yang sudah di ttd basah dan di scan
3f4a0523-4b43-407b-9909-b4e5116da2bd,529f8e85-431a-427c-9934-78f005c3ae95,Invoice,777/INV/HAN/IV/2026,https://drive.google.com/drive/folders/1kzdZHfS3aSdXKDsvGhkLkKiHNgvqNrZW,Invoice pelunasan
e21c93cb-ec3f-4413-8e26-99a72cbdc167,d255b615-22c2-43c6-a674-fb6703e939d2,Invoice,776/INV/HAN/IV/2026,https://drive.google.com/drive/folders/1kzdZHfS3aSdXKDsvGhkLkKiHNgvqNrZW,Invoice Pelunasan
3127afc5-92fd-463f-9723-9cd952fee95c,b07002d6-d08d-4695-8762-588923bf89b8,Invoice,778/INV/HAN/V/2026,https://drive.google.com/drive/folders/1TZWHwXFJ7E1atAJbR7d-ViKb4GR03m_s,Invoice Pelunasan
ee9f1a80-ff24-4e8e-b0c0-a4a03018c53f,78abaed8-2fe0-4945-89e0-71eb36e88681,Lainnya,0111/HAN/VI/2026,https://drive.google.com/drive/folders/1NDotzTGgkLuAmH6yGJfuGjVgR89l98ME,Surat Penawaran
6a07ce4a-e71c-4215-b1af-892c6f70412c,Template Dokumen,SPK			,https://docs.google.com/document/d/10Qky98g1_ojgUmW_JEY9FoEkP8-Flw_d/edit?usp=drivesdk&ouid=106708798802883491289&rtpof=true&sd=true,,
13f71aff-0705-42c3-a7e5-67e5430b20e1,Template Dokumen,Surat Penawaran			,https://www.canva.com/design/DAF5ke6WE_Y/Uo5sasB5aDfAX_oT8_ihDA/edit?utm_content=DAF5ke6WE_Y&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,
3326c755-e273-4f3b-8093-ca7a71eab53b,Template Dokumen,"Surat Tugas, Non PKP, dll			",https://www.canva.com/design/DAHAQP6GmbQ/C6SVLTbziQO8qc41qrBY3Q/edit?utm_content=DAHAQP6GmbQ&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,
83dd1403-4450-4bfe-acf9-c532de038beb,Template Dokumen,Invoice			,https://www.canva.com/design/DAGoghEOJ1o/zircNKtOXTbHQsSDbSXcVg/edit		,,
b864c6a5-b23a-4675-811b-ef87a2a5486a,Template Dokumen,Kwitansi,https://www.canva.com/design/DAFy6n_XYvI/ilMiXCqVMIWGtliFDJEBLQ/edit		,,
5b7427b8-571b-4f68-9f4b-6a902ff265f3,Template Dokumen,Form Magang,https://forms.gle/2rbDNx6DaodZqayZA,,
dade680f-ef5b-441f-8906-4937cf04bce1,Template Dokumen,Proposal Penawaran,https://www.canva.com/design/DAG2f7t_OQc/RLUd5Jp-Vd8MujTyB7i3dA/edit?utm_content=DAG2f7t_OQc&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton	,,
359bca90-e46a-4349-8515-6d518bd9f2ab,Template Dokumen,"CV, Ratecard, Riders Event	",https://www.canva.com/design/DAG9Pch_R8s/ZFuBB4qz0MlJHiRXHYe6jA/edit?utm_content=DAG9Pch_R8s&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,
9b4474a3-d65d-417a-89d9-7aea9c2ca2c8,Template Dokumen,CV Asosiate Trainer,https://www.canva.com/design/DAG9UTFURDE/FgLhDfFaR48MMHFrwYTMQA/edit?utm_content=DAG9UTFURDE&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,
238d3735-4e41-4923-bc75-611d8ce64e0c,Template Dokumen,Slide Materi	2024,https://www.canva.com/design/DAFwbzZ2Ae4/hAuk2VywZ7hW2mUG4FGzCg/edit,,
a75bfd7c-fd06-45ae-877c-aca516b98ec6,Template Dokumen,Slide Materi 2025,https://www.canva.com/design/DAG5N4JQ3eg/6QhVrMx31szIIMe5IvD1PQ/edit,,
26fbb23f-3205-436d-a5f0-4f7b75eee2d6,Template Dokumen,Slide Materi 2026,https://www.canva.com/design/DAG-7VIM6VA/Q9ePx8-MG9y34yIeSZIGhQ/edit,,
12acf7f4-6bf1-46ab-bb3e-4e9c7df6fd31,Template Dokumen,Outline Materi,https://www.canva.com/design/DAGOdne7pfg/4L6iRecv-q1DD6xRG-Ymcg/edit?utm_content=DAGOdne7pfg&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,
a520f31e-17c0-4f7e-9d55-59974e7d0358,Template Dokumen,Worksheet,https://www.canva.com/design/DAG_M0y5Kh8/2tYnouzhcqJPPpLii0Iizw/edit?utm_content=DAG_M0y5Kh8&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,
f96324b1-4d22-4701-bf4f-9eccaa831331,Link Dokumen,SPK,https://drive.google.com/drive/folders/1TZWHwXFJ7E1atAJbR7d-ViKb4GR03m_s,,
0f5ccdee-b3cb-4459-a33b-0ae6ecd83c21,Link Dokumen,Invoice,https://drive.google.com/drive/folders/1kzdZHfS3aSdXKDsvGhkLkKiHNgvqNrZW,,
5c8b307c-89b6-4654-ba74-4ec094a4861d,Link Dokumen,Surat-surat,https://drive.google.com/drive/folders/1NDotzTGgkLuAmH6yGJfuGjVgR89l98ME,,
2ece9f44-d34d-4036-abde-0e01e5c7b1e6,Link Dokumen,Kwitansi,https://drive.google.com/drive/folders/1LCNZvijRHqoTk4a81sfcgJBXWpIs0Gop,,
9a730470-875c-4989-b415-ab3fc63a73ae,Link Dokumen,Data Magang,https://docs.google.com/spreadsheets/d/1ZTipxH1SFfRYrYn0Lg8LWlqvYT71OaCJlcf8CMpv5CI/edit?gid=1741484289#gid=1741484289,,
59481f1a-7098-49a0-b9b3-960af29b2a38,Link Dokumen,Modul Magang,https://drive.google.com/file/d/1MJTVe-pQ6lMmMlzA-KQVlaad6BWF2iAj/view?usp=drivesdk,,
ed596099-6b37-4a02-b63b-4b023136ac6f,Link Dokumen,Proposal Hafara Group,https://drive.google.com/file/d/1RgLKjCXa66SDWJl9OuVZC3Bj1Yx_vQAh/view?usp=drivesdk,,
e9f80c2a-6544-4475-88ef-9cb15f6cc946,Link Dokumen,"CV, Ratecard, Riders",https://drive.google.com/file/d/1_he6Tkyy3bCY7yYtJmQXOOiIRtkZHhIz/view?usp=drivesdk,,
0eecd038-b145-452e-9540-9848f1959fd5,Link Dokumen,"CV, dan Riders Event			",https://drive.google.com/file/d/1PL21biGE4LAJjk933lqM4ekeOBI_XCve/view?usp=drivesdk,,
cafed0f7-6055-48b5-8012-b38087029cca,Link Dokumen,CV Associate Trainer,https://drive.google.com/drive/folders/1TEYo-E3p9nuuFG1A5vPZ4FbXsPrK4xoo,,
433931dc-62f9-45dc-ba5e-6232a59be283,Link Dokumen,File Edit Team,https://drive.google.com/drive/folders/1gqi-iI0nk1f1aQPvLjvbtHUgta8Q7flI,,
9fa97dd6-76a8-4974-af94-255d0d1c8b89,Link Dokumen,Mentahan Logo,https://drive.google.com/drive/folders/1sttEkvPhsdclwm0SrLGarGDoGW8gMBL9,,
1906c4c5-fdf9-4ebf-9590-65e4d52fe472,Link Dokumen,Foto PNG,https://drive.google.com/drive/folders/1pnmqDc1z_yrZBclFZjujJYvKt3qclxuQ,,
5d7f8950-1455-40d8-a75c-1564153d4285,Link Dokumen,Database Karyawan,https://drive.google.com/drive/folders/1649148eQlJgtVSGXkA9HhYOEpFhUDYPL?usp=drive_link,,
